"","Batter_Name","field_zone","n_boundaries"
"504","Priyansh Arya","Long-on",1
"505","Priyansh Arya","Straight (leg-side)",54
"506","Quinton de Kock","Straight (off-side) / long-off",46
"507","Quinton de Kock","Extra cover",2
"508","Quinton de Kock","Third man",1
"509","Quinton de Kock","Fine leg",2
"510","Quinton de Kock","Long-on",2
"511","Quinton de Kock","Straight (leg-side)",93
"512","Ravichandran Ashwin","Straight (off-side) / long-off",17
"513","Ravichandran Ashwin","Extra cover",1
"514","Ravichandran Ashwin","Third man",1
"515","Ravichandran Ashwin","Straight (leg-side)",25
"516","Rishi Dhawan","Straight (off-side) / long-off",3
"517","Rishi Dhawan","Straight (leg-side)",5
"518","Riyan Parag","Straight (off-side) / long-off",52
"519","Riyan Parag","Extra cover",3
"520","Riyan Parag","Backward square leg",1
"521","Riyan Parag","Square leg",1
"522","Riyan Parag","Long-on",2
"523","Riyan Parag","Straight (leg-side)",99
"524","Rovman Powell","Straight (off-side) / long-off",10
"525","Rovman Powell","Third man",1
"526","Rovman Powell","Square leg",1
"527","Rovman Powell","Long-on",1
"528","Rovman Powell","Straight (leg-side)",37
"529","Rachin Ravindra","Straight (off-side) / long-off",18
"530","Rachin Ravindra","Third man",1
"531","Rachin Ravindra","Straight (leg-side)",37
"532","R Sai Kishore","Straight (leg-side)",2
"533","Romario Shepherd","Straight (off-side) / long-off",8
"534","Romario Shepherd","Fine leg",1
"535","Romario Shepherd","Straight (leg-side)",20
"536","Rahul Tewatia","Straight (off-side) / long-off",25
"537","Rahul Tewatia","Extra cover",1
"538","Rahul Tewatia","Fine leg",1
"539","Rahul Tewatia","Midwicket",1
"540","Rahul Tewatia","Straight (leg-side)",55
"541","Raj Bawa","Straight (leg-side)",1
"542","Ravindra Jadeja","Straight (off-side) / long-off",34
"543","Ravindra Jadeja","Extra cover",4
"544","Ravindra Jadeja","Third man",1
