"Batter_Name","line_bin","length_bin","Balls","Runs","SR"
"Alzarri Joseph","leg","short",1,1,100
"Alzarri Joseph","leg","bouncer",1,0,0
"Anukul Roy","line","yorker",1,0,0
"Anukul Roy","off","full",4,4,100
"Anukul Roy","off","length",3,1,33.33
"Anukul Roy","line","length",4,8,200
"Anukul Roy","leg","length",2,1,50
"Anukul Roy","off","back of length",6,6,100
"Anukul Roy","line","back of length",2,2,100
"Anukul Roy","leg","back of length",1,0,0
"Anukul Roy","off","short",2,4,200
"Ambati Rayudu","off","yorker",17,20,117.65
"Ambati Rayudu","line","yorker",11,17,154.55
"Ambati Rayudu","leg","yorker",3,5,166.67
"Ambati Rayudu","off","full",27,39,144.44
"Ambati Rayudu","line","full",31,32,103.23
"Ambati Rayudu","leg","full",8,12,150
"Ambati Rayudu","off","length",39,54,138.46
"Ambati Rayudu","line","length",37,39,105.41
"Ambati Rayudu","leg","length",9,12,133.33
"Ambati Rayudu","off","back of length",31,42,135.48
"Ambati Rayudu","line","back of length",39,36,92.31
"Ambati Rayudu","leg","back of length",13,16,123.08
"Ambati Rayudu","off","short",17,44,258.82
"Ambati Rayudu","line","short",27,37,137.04
"Ambati Rayudu","leg","short",12,6,50
"Ambati Rayudu","off","bouncer",4,8,200
"Ambati Rayudu","line","bouncer",10,13,130
"Ambati Rayudu","leg","bouncer",2,0,0
"Adil Rashid","leg","yorker",1,0,0
"Adil Rashid","off","full",1,0,0
"Adil Rashid","leg","full",1,2,200
"Adil Rashid","off","length",2,1,50
"Adil Rashid","line","length",4,7,175
"Adil Rashid","off","back of length",1,2,200
"Adil Rashid","line","back of length",2,5,250
"Adil Rashid","line","short",3,4,133.33
"Adil Rashid","leg","bouncer",1,1,100
"Abdul Basith","off","length",1,1,100
"Abdul Samad","off","yorker",19,15,78.95
"Abdul Samad","line","yorker",12,28,233.33
"Abdul Samad","leg","yorker",5,3,60
"Abdul Samad","off","full",24,39,162.5
"Abdul Samad","line","full",24,48,200
"Abdul Samad","leg","full",12,14,116.67
"Abdul Samad","off","length",29,45,155.17
"Abdul Samad","line","length",34,34,100
"Abdul Samad","leg","length",18,20,111.11
"Abdul Samad","off","back of length",46,67,145.65
"Abdul Samad","line","back of length",37,71,191.89
"Abdul Samad","leg","back of length",16,30,187.5
"Abdul Samad","off","short",17,31,182.35
"Abdul Samad","line","short",17,28,164.71
"Abdul Samad","leg","short",12,18,150
"Abdul Samad","off","bouncer",4,10,250
"Abdul Samad","line","bouncer",7,9,128.57
"Abdul Samad","leg","bouncer",5,9,180
"Abhishek Sharma","off","yorker",50,97,194
"Abhishek Sharma","line","yorker",37,51,137.84
"Abhishek Sharma","leg","yorker",21,40,190.48
"Abhishek Sharma","off","full",63,124,196.83
"Abhishek Sharma","line","full",72,103,143.06
"Abhishek Sharma","leg","full",17,32,188.24
"Abhishek Sharma","off","length",106,189,178.3
"Abhishek Sharma","line","length",112,182,162.5
"Abhishek Sharma","leg","length",33,52,157.58
"Abhishek Sharma","off","back of length",113,198,175.22
"Abhishek Sharma","line","back of length",103,176,170.87
"Abhishek Sharma","leg","back of length",38,67,176.32
"Abhishek Sharma","off","short",41,81,197.56
"Abhishek Sharma","line","short",66,85,128.79
"Abhishek Sharma","leg","short",20,32,160
"Abhishek Sharma","off","bouncer",28,27,96.43
"Abhishek Sharma","line","bouncer",19,33,173.68
"Abhishek Sharma","leg","bouncer",7,6,85.71
"Abhishek Porel","off","yorker",12,14,116.67
"Abhishek Porel","line","yorker",21,29,138.1
"Abhishek Porel","leg","yorker",6,11,183.33
"Abhishek Porel","off","full",34,45,132.35
"Abhishek Porel","line","full",33,52,157.58
"Abhishek Porel","leg","full",7,8,114.29
"Abhishek Porel","off","length",59,112,189.83
"Abhishek Porel","line","length",43,61,141.86
"Abhishek Porel","leg","length",20,35,175
"Abhishek Porel","off","back of length",50,72,144
"Abhishek Porel","line","back of length",55,88,160
"Abhishek Porel","leg","back of length",19,30,157.89
"Abhishek Porel","off","short",22,26,118.18
"Abhishek Porel","line","short",29,38,131.03
"Abhishek Porel","leg","short",11,18,163.64
"Abhishek Porel","off","bouncer",10,11,110
"Abhishek Porel","line","bouncer",6,3,50
"Abhishek Porel","leg","bouncer",4,8,200
"Akash Deep","line","yorker",1,1,100
"Akash Deep","line","full",2,7,350
"Akash Deep","off","length",2,1,50
"Akash Deep","line","length",2,0,0
"Akash Deep","off","back of length",1,0,0
"Akash Deep","line","back of length",3,5,166.67
"Akash Deep","off","short",2,5,250
"Akash Deep","leg","short",1,6,600
"Akash Madhwal","off","yorker",1,1,100
"Akash Madhwal","line","yorker",1,0,0
"Akash Madhwal","off","length",3,2,66.67
"Akash Madhwal","line","length",3,1,33.33
"Akash Madhwal","leg","length",1,1,100
"Akash Madhwal","off","back of length",3,2,66.67
"Akash Madhwal","line","back of length",1,1,100
"Akash Madhwal","off","short",1,0,0
"Aman Hakim Khan","off","yorker",5,6,120
"Aman Hakim Khan","line","yorker",3,5,166.67
"Aman Hakim Khan","leg","yorker",3,0,0
"Aman Hakim Khan","off","full",9,19,211.11
"Aman Hakim Khan","line","full",7,4,57.14
"Aman Hakim Khan","leg","full",4,5,125
"Aman Hakim Khan","off","length",10,7,70
"Aman Hakim Khan","line","length",5,2,40
"Aman Hakim Khan","leg","length",5,1,20
"Aman Hakim Khan","off","back of length",21,26,123.81
"Aman Hakim Khan","line","back of length",5,7,140
"Aman Hakim Khan","leg","back of length",9,16,177.78
"Aman Hakim Khan","off","short",7,5,71.43
"Aman Hakim Khan","line","short",3,2,66.67
"Aman Hakim Khan","leg","short",2,2,100
"Aman Hakim Khan","off","bouncer",4,1,25
"Aman Hakim Khan","line","bouncer",1,4,400
