"Batter_Name","where_caught","count_of_where_caught"
"Krunal Pandya","mid-on",1
"Krunal Pandya","mid-wicket",1
"Krunal Pandya","short cover",1
"Krunal Pandya","square leg",1
"Krunal Pandya","wicket-keeper",1
"Khaleel Ahmed","cover",1
"Karun Nair","deep mid-wicket",1
"Karun Nair","deep square leg",1
"Karun Nair","fine leg",1
"Karun Nair","point",1
"Karun Nair","third man",1
"KL Rahul","deep cover",5
"KL Rahul","gully",5
"KL Rahul","cover",4
"KL Rahul","long-on",3
"KL Rahul","wicket-keeper",3
"KL Rahul","deep square leg",2
"KL Rahul","fine leg",2
"KL Rahul","mid-on",2
"KL Rahul","mid-wicket",2
"KL Rahul","slip",2
"KL Rahul","deep fine leg",1
"KL Rahul","deep mid-wicket",1
"KL Rahul","long-off",1
"KL Rahul","mid-off",1
"KL Rahul","non-striker's end",1
"KL Rahul","point",1
"KL Rahul","third man",1
"KM Asif","gully",1
"Kyle Mayers","deep fine leg",2
"Kyle Mayers","deep cover",1
"Kyle Mayers","deep square leg",1
"Kyle Mayers","fine leg",1
"Kyle Mayers","gully",1
"Kyle Mayers","long-on",1
"Kyle Mayers","mid-wicket",1
"Kyle Mayers","point",1
"K Srikar Bharat","fine leg",1
"K Srikar Bharat","mid-off",1
"KS Rathore","deep square leg",1
"Karan Sharma","long-on",1
"Karan Sharma","short mid-on",1
"Karan Sharma","slip",1
"Kane Williamson","mid-wicket",2
"Kane Williamson","cover",1
"Kane Williamson","deep fine leg",1
"Kane Williamson","deep square leg",1
"Kane Williamson","gully",1
"Kane Williamson","long-off",1
"Kane Williamson","non-striker's end",1
"Karn Sharma","long-on",1
"Karn Sharma","mid-off",1
"Karn Sharma","silly mid-off",1
"Karn Sharma","slip",1
"Kartik Tyagi","long-on",1
"Kuldeep Yadav","long-off",1
"Kuldeep Yadav","wicket-keeper",1
"Kumar Kushagra","deep fine leg",1
"Kumar Kushagra","slip",1
"Lockie Ferguson","point",1
"Lockie Ferguson","slip",1
"Liam Livingstone","slip",3
"Liam Livingstone","square leg",3
"Liam Livingstone","cover",2
"Liam Livingstone","long-on",2
"Liam Livingstone","deep cover",1
"Liam Livingstone","deep fine leg",1
"Liam Livingstone","fine leg",1
"Liam Livingstone","gully",1
"Liam Livingstone","mid-off",1
"Liam Livingstone","non-striker's end",1
"Liam Livingstone","third man",1
"Liam Livingstone","wicket-keeper",1
"Lalit Yadav","mid-wicket",2
"Lalit Yadav","long-on",1
"Lalit Yadav","mid-off",1
"Lalit Yadav","slip",1
"Lalit Yadav","third man",1
"Liton Das","gully",1
"Murugan Ashwin","cover",1
"Marco Jansen","deep fine leg",1
"Marco Jansen","deep mid-wicket",1
"Marco Jansen","deep square leg",1
"Marco Jansen","fine leg",1
"Marco Jansen","long-on",1
"Marco Jansen","slip",1
"Marco Jansen","third man",1
"Shahrukh Khan","long-on",2
"Shahrukh Khan","mid-wicket",2
"Shahrukh Khan","slip",2
"Shahrukh Khan","square leg",2
"Shahrukh Khan","deep cover",1
"Shahrukh Khan","mid-off",1
"Shahrukh Khan","point",1
"Shahrukh Khan","third man",1
"Shahrukh Khan","wicket-keeper",1
"Maheesh Theekshana","deep mid-wicket",1
"Maheesh Theekshana","slip",1
"Maheesh Theekshana","wicket-keeper",1
"Manan Vohra","slip",1
"Mayank Agarwal","gully",4
"Mayank Agarwal","long-off",3
