"","player_name","team","games_played_window","avg_points_q1_per_game","avg_points_q2_per_game","avg_points_q3_per_game","avg_points_q4_per_game","avg_points_first_half_per_game","avg_points_second_half_per_game","points_per_game_last5","rebounds_per_game_last5","assists_per_game_last5","threes_made_per_game_last5","points_per_game_last10","rebounds_per_game_last10","assists_per_game_last10","threes_made_per_game_last10","points_per_game_last15","rebounds_per_game_last15","assists_per_game_last15","threes_made_per_game_last15"
"460","Josh Minott","Timberwolves",57,0.32,0.63,0.26,2.7,0.95,2.96,1,0,0.33,0.33,1.25,0,0.5,0.25,1,0,0.4,0.2
"461","Josh Okogie","Hornets",175,1.65,2.37,1.38,1.7,4.02,3.09,9.25,2,1.25,1,10.44,2.8,1.56,1.33,9.18,2.27,1.36,1.18
"462","Josh Richardson","Heat",174,2.57,3.17,1.85,2.71,5.74,4.56,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA
"463","Joshua Primo","Clippers",46,1.85,1.3,1.76,2,3.15,3.76,0,0.2,0,0,1,0.1,0,0,4.29,1.07,2.86,0.43
"464","Jrue Holiday","Celtics",305,4,3.71,4.24,3.24,7.71,7.48,8,4,3.6,0.8,8.67,3.5,4,1,10.57,4,4.43,1.36
"465","Juan Toscano-Anderson","Kings",95,0.71,1.09,0.93,2.21,1.8,3.14,0,0,0,0,0.83,0.9,0.17,0.17,0.5,0.73,0.2,0.1
"466","Juancho Hernangomez","Raptors",50,1.26,1.62,1.28,1.18,2.88,2.46,0,0.2,1,0,0,0.3,0.33,0,0.5,0.93,0.5,0.12
"467","Jules Bernard","Wizards",11,0.27,1.09,0.27,5.09,1.36,5.36,4.75,2,0.75,0.5,4,1.4,0.71,0.57,5.73,1.33,1,0.82
"468","Julian Champagnie","Spurs",149,2.73,2.03,2.56,2.01,4.76,4.57,11,3.2,1,3,10,3.7,1.6,2.6,8.6,3.6,1.33,2
"469","Julian Phillips","Bulls",81,1.19,1.28,1.43,1.52,2.47,2.95,7.2,2.6,0.6,0.8,4.9,2.2,0.5,0.7,5.73,2.53,0.87,0.73
"470","Julian Strawther","Nuggets",99,1.13,2.84,1.6,3.02,3.97,4.62,6,1.4,0.25,1,4.75,0.8,0.25,0.75,4.22,0.6,0.22,0.67
"471","Julius Randle","Timberwolves",283,7.01,4.71,6.13,3.71,11.72,9.84,17.4,5.8,3,2.2,21.3,6.2,5.2,1.9,21.73,5.87,4.93,2
"472","Justin Anderson","Pacers",12,1.75,2.08,2.58,2.08,3.83,4.67,5.6,2,1.6,0.6,8.1,3.6,2.4,1.2,6.5,2.73,2.07,0.93
"473","Justin Champagnie","Wizards",80,1.95,1.46,1.72,2.95,3.41,4.68,16.2,11.2,0.8,2.2,12.44,8.2,0.89,1.67,11.21,7.4,1,1.64
"474","Justin Edwards","76ers",36,2.36,2.47,2.47,2.69,4.83,5.17,16,2,1.67,2.33,14.14,2,1.86,2,13.27,2.33,1.73,1.82
"475","Justin Holiday","Nuggets",148,2.04,2.04,2.24,1.89,4.08,4.12,3.2,1.8,0.4,1,3.5,1.7,0.3,1.1,3.27,1.53,0.6,1
"476","Justin Jackson","Timberwolves",9,0,0.89,0.33,2.67,0.89,3,0,0,0,0,0,0,0,0,0,0,0,0
"477","Justin Minaya","Trail Blazers",23,0.3,1.17,0.57,1.83,1.48,2.39,2.2,0,0.2,0.2,1.57,0.1,0.14,0.14,1.22,0.07,0.11,0.11
